name,city,category,rating,description,tags,price_range,address
Basilica of Bom Jesus,Goa,historical,4.6,"UNESCO world heritage 16th century church holding the remains of St Francis Xavier","UNESCO,heritage,spiritual,architecture",low,"Old Goa"
Fort Aguada,Goa,historical,4.3,"17th century Portuguese fort with lighthouse offering stunning views of Arabian Sea","heritage,views,photography",low,"Sinquerim, North Goa"
Anjuna Flea Market,Goa,shopping,4.2,"Famous Wednesday flea market selling everything from clothes to antiques","shopping,budget,social,unique",low,"Anjuna, North Goa"
Thalassa Restaurant,Goa,food,4.6,"Iconic Greek restaurant in Little Vagator with cliff-edge tables and sunset views","romantic,views,couple,seafood",high,"Little Vagator, Goa"
Baga Beach Shacks,Goa,food,4.2,"Beachside shacks serving fresh Goan seafood fish curry and cold beer","seafood,budget,beach,casual",low,"Baga Beach, North Goa"
Jaisalmer Fort,Jaisalmer,historical,4.7,"Living desert fort — 12th century golden sandstone fort where 3000 people still live","heritage,UNESCO,iconic,unique",low,"Jaisalmer Fort, Jaisalmer"
Sam Sand Dunes,Jaisalmer,adventure,4.8,"Golden sand dunes with camel safari and overnight luxury tented camp under stars","adventure,romantic,couple,unique,stargazing",mid,"Sam Village, Jaisalmer"
Patwon Ki Haveli,Jaisalmer,historical,4.4,"Most elaborate and largest haveli in Jaisalmer with intricate golden stone carvings","heritage,architecture,photography",low,"Patwa Para, Jaisalmer"
Gadisar Lake,Jaisalmer,nature,4.3,"Beautiful artificial lake surrounded by temples with boat rides at sunrise and sunset","romantic,peaceful,sunrise,photography",low,"Gadisar Road, Jaisalmer"
Udaipur City Palace,Udaipur,historical,4.7,"Magnificent palace complex on the banks of Lake Pichola — the largest in Rajasthan","heritage,royal,photography,romantic",mid,"City Palace Road, Udaipur"
Lake Pichola,Udaipur,nature,4.6,"Stunning artificial lake with boat rides to the Lake Palace hotel on an island","romantic,couple,sunset,iconic",mid,"Udaipur city"
Fateh Sagar Lake,Udaipur,nature,4.4,"Second largest lake in Udaipur with a small island and solar observatory","peaceful,romantic,evening,couple",low,"Udaipur city"
Bagore Ki Haveli,Udaipur,historical,4.3,"18th century haveli museum with evening cultural show of Rajasthani folk dances","culture,heritage,entertainment,family",mid,"Gangaur Ghat, Udaipur"
Sajjangarh Palace,Udaipur,historical,4.4,"Monsoon palace on a hilltop with panoramic views of Udaipur and surrounding lakes","views,sunset,romantic,couple",low,"Sajjangarh, Udaipur"
Varanasi Ghats,Varanasi,historical,4.8,"Ancient ghats on the holy Ganges river — most sacred place in Hinduism","spiritual,heritage,unique,photography",low,"Varanasi Ghats"
Dashashwamedh Ghat,Varanasi,historical,4.7,"Main ghat in Varanasi famous for spectacular nightly Ganga Aarti ceremony with fire","spiritual,photography,iconic,evening",low,"Dashashwamedh Ghat, Varanasi"
Sarnath,Varanasi,historical,4.5,"Where Lord Buddha gave his first sermon — archaeological site and museums","spiritual,Buddhist,heritage,peaceful",low,"Sarnath, Varanasi"
Kashi Vishwanath Temple,Varanasi,historical,4.6,"Most sacred Hindu temple dedicated to Lord Shiva rebuilt with gold plating","spiritual,iconic,heritage",low,"Vishwanath Gali, Varanasi"
Blue Lassi Shop,Varanasi,food,4.7,"Legendary 70-year-old lassi shop near Golden Temple serving 50 flavours","iconic,budget,must-try,breakfast",low,"Kachori Gali, Varanasi"
Marine Drive,Mumbai,nature,4.5,"Iconic 3.6km promenade along Arabian Sea called Queen's Necklace at night","iconic,romantic,evening,couple,sunset",low,"Marine Drive, Mumbai"
Gateway of India,Mumbai,historical,4.6,"Iconic 1924 colonial arch monument on the waterfront near the Taj Hotel","iconic,heritage,photography",low,"Apollo Bunder, Mumbai"
Elephanta Caves,Mumbai,historical,4.4,"UNESCO world heritage cave temples with massive Shiva sculptures on an island","UNESCO,heritage,adventure,unique",low,"Elephanta Island, Mumbai"
Dharavi,Mumbai,historical,4.2,"One of Asia's largest slums turned into a fascinating tour of entrepreneurship and craft","unique,culture,educational",mid,"Dharavi, Mumbai"
Juhu Beach,Mumbai,nature,4.0,"Famous beach known for street food — pav bhaji, bhel puri and more","street food,family,sunset,casual",low,"Juhu, Mumbai"
Leopold Cafe,Mumbai,food,4.4,"Iconic 1871 cafe featured in Shantaram novel — Mumbai institution","iconic,history,casual",mid,"Colaba Causeway, Mumbai"
Britannia and Co,Mumbai,food,4.7,"Legendary 1923 Irani restaurant famous for berry pulao and vintage charm","iconic,heritage,must-try",mid,"Wakefield House, Mumbai"
Alleppey Backwaters,Kerala,nature,4.8,"Serene network of lagoons and canals best explored on a traditional rice boat houseboat","romantic,couple,nature,unique,peaceful",high,"Alleppey, Kerala"
Munnar Tea Gardens,Kerala,nature,4.7,"Rolling hills covered in emerald tea plantations at 1600 metres altitude","nature,photography,peaceful,romantic",mid,"Munnar, Kerala"
Periyar Wildlife Sanctuary,Kerala,nature,4.5,"Scenic lake surrounded by forest with boat safari to spot elephants and deer","wildlife,adventure,nature,family",mid,"Thekkady, Kerala"
Kovalam Beach,Kerala,nature,4.4,"Crescent-shaped beach with lighthouse and Ayurvedic resorts","beach,wellness,romantic,couple",mid,"Kovalam, Kerala"
Fort Kochi,Kerala,historical,4.6,"Historic port town with Chinese fishing nets, Dutch palace, and Jewish synagogue","heritage,photography,unique,culture",low,"Fort Kochi, Kerala"
Rishikesh Rafting,Rishikesh,adventure,4.8,"White water rafting on the holy Ganges through exciting rapids rated Grade 2-4","adventure,thrilling,group,friends",mid,"Shivpuri to Rishikesh, Uttarakhand"
Laxman Jhula,Rishikesh,historical,4.4,"Iron suspension bridge over Ganges with yoga ashrams and cafes on both sides","spiritual,yoga,photography,peaceful",low,"Rishikesh, Uttarakhand"
Beatles Ashram,Rishikesh,historical,4.5,"Abandoned ashram where The Beatles stayed in 1968 — now an open art gallery in forest","unique,music,history,photography",low,"Rishikesh, Uttarakhand"
Triveni Ghat,Rishikesh,historical,4.5,"Sacred ghat with beautiful evening aarti ceremony and trout in the crystal clear water","spiritual,photography,peaceful,evening",low,"Rishikesh, Uttarakhand"
Little Buddha Cafe,Rishikesh,food,4.6,"Iconic rooftop cafe by Ganges serving Israeli and healthy food popular with backpackers","vegetarian,views,budget,casual",low,"Laxman Jhula, Rishikesh"
Mysore Palace,Mysore,historical,4.8,"Magnificent Indo-Saracenic palace lit with 100,000 bulbs on Sunday evenings","heritage,royal,photography,iconic",low,"Sayyaji Rao Road, Mysore"
Chamundeshwari Temple,Mysore,historical,4.6,"Temple on top of Chamundi Hill with a massive Nandi bull statue on the way up","spiritual,views,trekking,heritage",low,"Chamundi Hill, Mysore"
Brindavan Gardens,Mysore,nature,4.3,"Musical fountain garden below Krishna Raja Sagar dam — stunning in the evening","family,romantic,evening,nature",low,"KRS Dam, Mysore"
Mysore Pak Shop,Mysore,food,4.7,"Original shop that invented Mysore Pak sweet in 1935 — a must visit","iconic,sweet,must-try,budget",low,"Sayyaji Rao Road, Mysore"
Hampi Virupaksha Temple,Hampi,historical,4.7,"Living temple in the UNESCO world heritage Hampi ruins dating back to 7th century","UNESCO,heritage,spiritual,photography",low,"Hampi, Karnataka"
Hampi Ruins,Hampi,historical,4.8,"Stunning 14th century Vijayanagara empire ruins spread across boulder-strewn landscape","UNESCO,heritage,photography,unique,adventure",low,"Hampi, Karnataka"
Hampi Coracle Ride,Hampi,adventure,4.5,"Round basket boat ride on the Tungabhadra river surrounded by ancient ruins","adventure,unique,photography,fun",low,"Hampi, Karnataka"
Golden Temple,Amritsar,historical,4.9,"Most sacred Sikh shrine — stunning golden temple reflecting in sacred pool, langar open 24/7","spiritual,iconic,free,photography",low,"Golden Temple, Amritsar"
Wagah Border,Amritsar,historical,4.5,"Daily flag lowering ceremony with India and Pakistan soldiers — patriotic and dramatic","unique,patriotic,entertainment,evening",low,"Attari-Wagah, Amritsar"
Langar at Golden Temple,Amritsar,food,4.9,"World's largest free kitchen serving 100,000 people daily — dal, roti, kheer","iconic,free,spiritual,vegetarian",low,"Golden Temple, Amritsar"
Darbar Sahib Night View,Amritsar,historical,4.8,"The Golden Temple at night when illuminated is even more spectacular — uncrowded","photography,romantic,spiritual,peaceful",low,"Golden Temple, Amritsar"
Spiti Valley,Himachal Pradesh,adventure,4.9,"Remote cold desert mountain valley at 12500 feet with ancient Buddhist monasteries","adventure,nature,photography,unique,offbeat",mid,"Spiti Valley, HP"
Kasol,Himachal Pradesh,nature,4.5,"Tiny village in Parvati Valley surrounded by pine forests and Himalayan peaks","nature,trekking,backpacking,peaceful",low,"Kasol, HP"
Rohtang Pass,Himachal Pradesh,adventure,4.6,"High mountain pass at 13050 feet with snow year round and stunning Himalayan views","adventure,snow,photography,nature",low,"Near Manali, HP"
Solang Valley,Himachal Pradesh,adventure,4.5,"Adventure activities including paragliding, zorbing and skiing near Manali","adventure,snow,sports,family,group",mid,"Near Manali, HP"
Old Manali Cafes,Himachal Pradesh,food,4.4,"Cozy cafes in Old Manali serving Tibetan food, momos, and apple pie to travellers","budget,vegetarian,cozy,backpacker",low,"Old Manali, HP"
